timestamp,contract,fut_open,fut_high,fut_low,fut_close,fut_volume,fut_open_interest
2025-01-16 09:15:00,NIFTY_CURR_FUT,18030.56762201486,18049.319380142042,18000.416056463866,18030.56762201486,301662,6131720.0
2025-01-16 09:20:00,NIFTY_CURR_FUT,18064.344534646592,18090.94436290626,18047.594124699357,18064.344534646592,988249,6995576.0
2025-01-16 09:25:00,NIFTY_CURR_FUT,18081.22176854645,18103.012889052763,18064.27527056896,18081.22176854645,283978,4862033.0
2025-01-16 09:30:00,NIFTY_CURR_FUT,18106.746244787093,18141.96727017578,18076.635693923807,18106.746244787093,827518,6049018.0
2025-01-16 09:35:00,NIFTY_CURR_FUT,18112.842409364643,18131.472810644536,18100.292569972014,18112.842409364643,270097,3522345.0
2025-01-16 09:40:00,NIFTY_CURR_FUT,18111.63766018778,18140.805121622398,18080.223988559577,18111.63766018778,426668,4881288.0
2025-01-16 09:45:00,NIFTY_CURR_FUT,18164.192823719684,18180.285187846082,18138.07702820856,18164.192823719684,500199,4506805.0
2025-01-16 09:50:00,NIFTY_CURR_FUT,18188.30855892977,18211.282750552728,18164.50687182663,18188.30855892977,368149,3953611.0
2025-01-16 09:55:00,NIFTY_CURR_FUT,18184.15950310892,18208.323607618244,18168.818181033537,18184.15950310892,471760,5380320.0
2025-01-16 10:00:00,NIFTY_CURR_FUT,18142.036945708085,18160.064033285264,18111.56644666347,18142.036945708085,903725,6129891.0
2025-01-16 10:05:00,NIFTY_CURR_FUT,18175.698274034636,18197.648533989275,18144.664548178127,18175.698274034636,491330,5346780.0
2025-01-16 10:10:00,NIFTY_CURR_FUT,18158.48985555394,18175.17601795145,18136.256368113176,18158.48985555394,955499,7512827.0
2025-01-16 10:15:00,NIFTY_CURR_FUT,18171.14730877229,18180.396444058326,18151.454264962704,18171.14730877229,698009,2006806.0
2025-01-16 10:20:00,NIFTY_CURR_FUT,18109.87026950942,18124.78324879393,18094.12839596037,18109.87026950942,459695,5837763.0
2025-01-16 10:25:00,NIFTY_CURR_FUT,18044.372778977708,18072.343293713704,18014.936072937806,18044.372778977708,300857,7448807.0
2025-01-16 10:30:00,NIFTY_CURR_FUT,18047.79337870952,18077.68854745168,18021.45843774385,18047.79337870952,238335,5701410.0
2025-01-16 10:35:00,NIFTY_CURR_FUT,17991.43342122609,18007.991014779553,17976.861321904056,17991.43342122609,637554,2794263.0
2025-01-16 10:40:00,NIFTY_CURR_FUT,18018.43610923441,18038.473772345067,17987.95428267785,18018.43610923441,984948,7110803.0
2025-01-16 10:45:00,NIFTY_CURR_FUT,17964.875053504005,17974.864395154276,17932.11955363822,17964.875053504005,648902,5731932.0
2025-01-16 10:50:00,NIFTY_CURR_FUT,17936.054480474955,17951.400467379277,17925.492460036014,17936.054480474955,978315,3909176.0
2025-01-16 10:55:00,NIFTY_CURR_FUT,17995.838019137853,18025.869994154855,17965.989565101503,17995.838019137853,884240,3406233.0
2025-01-16 11:00:00,NIFTY_CURR_FUT,17982.56271883333,18007.899779360436,17950.568091092005,17982.56271883333,427219,6508995.0
2025-01-16 11:05:00,NIFTY_CURR_FUT,17980.19107524497,17994.730860736185,17944.4597274796,17980.19107524497,879360,4098506.0
2025-01-16 11:10:00,NIFTY_CURR_FUT,17897.461596565754,17913.32166469561,17882.1341702137,17897.461596565754,425115,6252871.0
2025-01-16 11:15:00,NIFTY_CURR_FUT,17920.108756431786,17951.024582436672,17901.176075373936,17920.108756431786,611756,6744347.0
2025-01-16 11:20:00,NIFTY_CURR_FUT,17926.59327313276,17941.178820968373,17891.64920439518,17926.59327313276,536784,4891371.0
2025-01-16 11:25:00,NIFTY_CURR_FUT,17879.66379200779,17897.565565591263,17868.202510466082,17879.66379200779,349323,5851837.0
2025-01-16 11:30:00,NIFTY_CURR_FUT,17895.80198795717,17922.583736343397,17872.795829151833,17895.80198795717,704148,7683674.0
2025-01-16 11:35:00,NIFTY_CURR_FUT,17877.95798428491,17901.944278761275,17855.429667832108,17877.95798428491,792626,7097419.0
2025-01-16 11:40:00,NIFTY_CURR_FUT,17874.011543336423,17895.304948160585,17848.812375635236,17874.011543336423,494918,
