timestamp,spot_open,spot_high,spot_low,spot_close,spot_volume
2025-01-16 09:15:00,18016.461060819693,18035.19814814842,17986.333084925634,18016.461060819693,420333.0
2025-01-16 09:20:00,18012.338001776334,18038.861250183345,17995.6358155963,18012.338001776334,282041.0
2025-01-16 09:25:00,18033.710410916592,18055.444271701588,18016.808442625,18033.710410916592,338254.0
2025-01-16 09:30:00,18083.578490512453,18118.754450263703,18053.50646638578,18083.578490512453,116076.0
2025-01-16 09:35:00,18076.319823595182,18094.912658687874,18063.795289595007,18076.319823595182,163125.0
2025-01-16 09:40:00,18069.06460425097,18098.16350490768,18037.72477332257,18069.06460425097,462847.0
2025-01-16 09:45:00,18120.86290573927,18136.9168822079,18094.809408359888,18120.86290573927,148695.0
2025-01-16 09:50:00,18146.27496797731,18169.196065725704,18122.528287109435,18146.27496797731,163219.0
2025-01-16 09:55:00,18131.30948765384,18155.403362175544,18116.01275323777,18131.30948765384,473219.0
2025-01-16 10:00:00,18149.388304413253,18167.42269677035,18118.905458377554,18149.388304413253,404890.0
2025-01-16 10:05:00,18134.617959869676,18156.518608328715,18103.654375758957,18134.617959869676,473508.0
2025-01-16 10:10:00,18119.784226302905,18136.434821402665,18097.5981305301,18119.784226302905,301961.0
2025-01-16 10:15:00,18128.040249759495,18137.26744350195,18108.393923374362,18128.040249759495,226111.0
2025-01-16 10:20:00,18066.07770969377,18080.954627011648,18050.37390251012,18066.07770969377,256908.0
2025-01-16 10:25:00,18010.432404854808,18038.35030874386,17981.051067479042,18010.432404854808,404727.0
2025-01-16 10:30:00,17992.57279961428,18022.376498529884,17966.31843529641,17992.57279961428,353376.0
2025-01-16 10:35:00,17960.159694023332,17976.688506231152,17945.612924748566,17960.159694023332,392241.0
2025-01-16 10:40:00,17970.681055907327,17990.665612318568,17940.280016675697,17970.681055907327,286880.0
2025-01-16 10:45:00,17941.691816672923,17951.668267319357,17908.97858698762,17941.691816672923,450083.0
2025-01-16 10:50:00,17896.49725615234,17911.809398118963,17885.95852981145,17896.49725615234,141494.0
2025-01-16 10:55:00,17944.13243170205,17974.078118939153,17914.369738153677,17944.13243170205,319194.0
2025-01-16 11:00:00,17937.200206029156,17962.473351709945,17905.28628740217,17937.200206029156,403618.0
2025-01-16 11:05:00,17939.739410210863,17954.246484229217,17904.08845049615,17939.739410210863,54959.0
2025-01-16 11:10:00,17894.148933013294,17910.0060655833,17878.82434363375,17894.148933013294,410407.0
2025-01-16 11:15:00,17876.980779081812,17907.822200569302,17858.093662939384,17876.980779081812,118421.0
2025-01-16 11:20:00,17880.90807982592,17895.456456986536,17846.053064625223,17880.90807982592,95393.0
2025-01-16 11:25:00,17844.257851457525,17862.124175317862,17832.81926594957,17844.257851457525,89288.0
2025-01-16 11:30:00,17856.68635699049,17883.409567347113,17833.73048374477,17856.68635699049,399871.0
2025-01-16 11:35:00,17837.747790761587,17861.680136484767,17815.27014385198,17837.747790761587,106588.0
2025-01-16 11:40:00,17828.74113313572,17849.980607079924,17803.605788637055,17828.74113313572,324038.0
2025-01-16 11:45:00,17809.797970144984,17842.73917971374,17792.05604669927,17809.797970144984,351209.0
2025-01-16 11:50:00,17869.634118693975,17884.458154124473,17835.880575431962,17869.634118693975,407383.0
2025-01-16 11:55:00,17869.55736869934,17898.3654152948,17853.383777221334,17869.55736869934,414825.0
2025-01-16 12:00:00,17835.92496247265,17849.098501042154,17809.62511924128,17835.92496247265,113344.0
2025-01-16 12:05:00,17862.70930077337,17888.138667134972,17840.49004576018,17862.70930077337,321757.0
2025-01-16 12:10:00,17823.85523763585,17856.043967795744,17807.813586497945,17823.85523763585,127045.0
2025-01-16 12:15:00,17830.914070203733,17852.076738323016,17816.947459463594,17830.914070203733,125688.0
2025-01-16 12:20:00,17768.483360164206,17796.67202419262,17734.10413120237,17768.483360164206,391647.0
2025-01-16 12:25:00,17726.408890168288,17757.086036652425,17702.62116279099,17726.408890168288,493618.0
2025-01-16 12:30:00,17733.046017544595,17745.530784831302,17708.108276661038,17733.046017544595,155767.0
2025-01-16 12:35:00,17756.988298094104,17784.666832123155,17727.2570056878,17756.988298094104,97578.0
2025-01-16 12:40:00,17762.821768061625,17796.211637191747,17751.77613518831,17762.821768061625,174899.0
2025-01-16 12:45:00,17759.479707249353,17783.713510327354,17731.585844351182,17759.479707249353,460763.0
2025-01-16 12:50:00,17750.211914937,17764.042584818173,17736.939900323177,17750.211914937,238414.0
2025-01-16 12:55:00,17703.389441853302,17715.612106184406,17674.874209597223,17703.389441853302,457936.0
